,cat,transcript_words,transcript_idx,IdSession,ID
3385,emploi,"['convention', 'impact', 'productivité', 'salarié', 'partenariat', 'regard', 'baisse', 'santé', 'conseiller']",3561,5012,226072
3390,agriculture-faune,"['sucre', 'prix', 'production', 'marché', 'douane', 'solution', 'suite', 'betterave', 'quota', 'culture']",3566,5012,226123
3401,télécommunications,"['commune', 'critère', 'région', 'ordonnance', 'fermeture', 'niveau', 'maintien', 'office', 'revanche', 'aspect']",3578,5012,226237
3414,économie,"['investissement', 'protection', 'api', 'arbitrage', 'ciblage', 'professeure', 'économie', 'développement', 'progression', 'investisseur']",3593,5012,226358
3420,économie,"['entrave', 'produit', 'commerce', 'principe', 'homologation', 'déclaration', 'test', 'prescription', 'réétiquetage', 'aspect']",3599,5012,226500
3424,manifestation-loisirs,"['olympiade', 'coût', 'participation', 'formation', 'jeune', 'part', 'excellence', 'lieu', 'final', 'manifestation']",3603,5012,226541
3431,armée-sécurité,"['cyberdéfense', 'stratégie', 'civil', 'armée', 'plan', 'action', 'défense', 'doublon', 'mission', 'cybersécurité']",3610,5012,226823
3442,justice,"['avocat', 'secret', 'affaire', 'panama', 'activité', 'justice', 'tribunal', 'sanction', 'fiduciaire', 'barreau']",3622,5012,226899
3458,justice,"['urbi', 'dénonciateur', 'orbi', 'plaignant', 'acte', 'audience', 'procédure', 'fois', 'public', 'victime']",3639,5012,227262
3468,santé,"['médicament', 'information', 'patient', 'médecin', 'notice', 'emballage', 'psychotrope', 'professionnel', 'plate', 'pharmacien']",3650,5012,227186
3473,culture-média,"['télévision', 'gouvernement', 'votation', 'ambiguïté', 'citoyen', 'liberté', 'redevance', 'comité', 'opinion', 'allocution']",3655,5012,227309
3484,énergie,"['compagnie', 'tarif', 'électricité', 'différence', 'prix', 'coût', 'réseau', 'commune', 'production']",3667,5012,227361
3488,télécommunications,"['offliner', 'numérique', 'donnée', 'numérisation', 'privacy', 'dématérialisation', 'géant', 'commande', 'inquiétude', 'alternative']",3671,5012,227419
3490,télécommunications,"['office', 'agence', 'population', 'poste', 'annonce', 'localité', 'client', 'démantèlement', 'suppression', 'exécutif']",3673,5012,227437
3492,emploi,"['classe', 'rétribution', 'ordinateur', 'argument', 'travail', 'hémicycle', 'heure', 'voyage', 'souhait', 'motif']",3675,5012,227434
3497,société,"['foulard', 'dame', 'uniforme', 'voile', 'signe', 'sortie', 'règlement', 'type', 'terme']",3681,5012,227483
3517,armée-sécurité,"['flou', 'cybersécurité', 'objection', 'surcoût', 'report', 'coût', 'mise', 'oeuvre', 'bénéfice', 'cause']",3707,5012,227861
3518,armée-sécurité,"['ambition', 'coût', 'résidu', 'information', 'niveau', 'attaque', 'système', 'dommage', 'spécialiste', 'exploitation']",3708,5012,227806
3524,transport,"['voiture', 'carsharing', 'stratégie', 'fonction', 'fonctionnaire', 'département', 'système', 'partenariat', 'colocation', 'économie']",3715,5012,227886
3534,politique,"['règle', 'respect', 'calendrier', 'référendum', 'option', 'jeu', 'aspect', 'nom', 'niveau', 'problème']",3729,5012,227829
3536,politique,"['réalisation', 'candidature', 'cité', 'possibilité', 'opinion', 'référendum', 'interpellation', 'votation', 'garantie', 'mot']",3731,5012,227895
3539,manifestation-loisirs,"['base', 'forme', 'organisateur', 'déficit', 'couverture', 'manifestation', 'portée', 'sport', 'subvention', 'encouragement']",3734,5012,227838
3553,emploi,"['indemnité', 'chômage', 'raccourci', 'emploi', 'licencier', 'aide', 'demi', 'carrière', 'congé', 'couverture']",3748,5012,227956
3554,emploi,"['chômage', 'demandeur', 'assurance', 'tranche', 'emploi', 'âge', 'suite', 'senior', 'mois', 'prestation']",3749,5012,227960
3558,politique,"['responsable', 'rentabilité', 'gouvernance', 'lumière', 'véhicule', 'lièvre', 'réviseur', 'fidélité', 'objectif', 'pratique']",3753,5012,228057
3570,retraite-rentes,"['prestation', 'prévoyance', 'capital', 'réforme', 'fortune', 'incitation', 'niveau', 'vieillesse', 'prélèvement', 'immigration']",3765,5012,228135
3573,logement-territoire,"['loyer', 'région', 'montant', 'logement', 'bénéficiaire', 'lac', 'bord', 'fonction', 'domicile', 'regard']",3768,5012,228197
3587,armée-sécurité,"['gouvernance', 'cyberespace', 'numérique', 'espace', 'cyber', 'algorithme', 'valeur', 'démocratie', 'type', 'menace']",3783,5012,228598
3599,immigration,"['couloir', 'migrant', 'idée', 'organisation', 'asile', 'contingent', 'côté', 'angle', 'corvette', 'linceul']",3796,5012,228686
3620,armée-sécurité,"['militaire', 'musulman', 'donnée', 'religion', 'plaquette', 'communautarisme', 'confession', 'habitude', 'appartenance', 'armée']",3819,5012,228741
3648,emploi,"['modèle', 'critique', 'fille', 'autodéclaration', 'employeur', 'respect', 'foi', 'membre', 'renvoi', 'nombre']",3848,5012,225928
3662,manifestation-loisirs,"['sport', 'traversion', 'coordonné', 'état', 'important', 'compétition', 'élite', 'relève', 'lieu', 'finance']",3862,5012,226709
3673,écologie,"['marais', 'tourbière', 'nerf', 'altitude', 'financement', 'détérioration', 'musée', 'subventionnement', 'approfondie', 'population']",3873,5012,226853
3675,santé,"['sucre', 'obésité', 'diabète', 'prévalence', 'aliment', 'industrie', 'épidémie', 'boisson', 'diabésité', 'lutte']",3875,5012,226894
3680,économie,"['banque', 'taille', 'assujetti', 'risque', 'activité', 'corrélation', 'risikobasiert', 'risikobasierte', 'surveillance', 'mandat']",3880,5012,227089
3707,extérieur,"['malentendu', 'party', 'solution', 'procédure', 'rencontre', 'disponibilité', 'lumière', 'part', 'stabilité', 'parallèle']",3908,5012,228510
3719,armée-sécurité,"['guerre', 'drame', 'conflit', 'horreur', 'dictature', 'déclaration', 'force', 'crime', 'sarin', 'devoir']",3920,5013,229070
3724,armée-sécurité,"['checkpoint', 'groupuscule', 'belligérant', 'dépositaire', 'valeur', 'nord', 'nom', 'troupe', 'opération', 'directeur']",3925,5013,229113
3730,finance,"['prestataire', 'perfectionnement', 'obligation', 'service', 'autoréglementation', 'norme', 'formation', 'divergence', 'information', 'branche']",3931,5013,229250
3764,armée-sécurité,"['arme', 'résiliation', 'libéralisme', 'millier', 'centaine', 'attentat', 'terroriste', 'durcissement', 'détenteur', 'liberté']",3966,5013,229863
3772,armée-sécurité,"['arme', 'patente', 'commerce', 'chargeur', 'acquéreur', 'délai', 'héritier', 'suicide', 'traçabilité', 'titre']",3975,5013,229918
3775,armée-sécurité,"['arme', 'tir', 'autorisation', 'contrôle', 'faculté', 'tireur', 'directive', 'acquisition', 'condition', 'concept']",3978,5013,229957
3779,armée-sécurité,"['directive', 'blouse', 'drapeau', 'imprécision', 'rouge', 'paragraphe', 'orateur', 'annonce', 'arme', 'autorisation']",3982,5013,229963
3801,politique,"['expert', 'administration', 'propriétaire', 'irrégularité', 'fonction', 'période', 'présidence', 'cabinet', 'secrétariat', 'expertise']",4007,5013,230303
3807,agriculture-faune,"['initiant', 'agriculteur', 'esprit', 'stabulation', 'bête', 'type', 'élevage', 'accompagnement', 'animal', 'espace']",4013,5013,230403
3819,armée-sécurité,"['dollar', 'pib', 'habitant', 'dépense', 'suite', 'armée', 'vitam', 'principe', 'fond', 'budget']",4029,5013,230573
3828,extérieur,"['coopération', 'accent', 'message', 'thème', 'réflexion', 'engagement', 'réorganisation', 'clé', 'chapitre', 'lecture']",4038,5013,230692
3853,logement-territoire,"['surface', 'zone', 'superficie', 'terre', 'étable', 'denrée', 'assolement', 'développement', 'habitat', 'gaspillage']",4064,5013,231263
3862,armée-sécurité,"['commandant', 'logiciel', 'armée', 'militaire', 'tâche', 'congé', 'numérisation', 'adjudant', 'mil', 'service']",4073,5013,231230
3868,extérieur,"['paix', 'reconnaissance', 'relance', 'dynamique', 'résolution', 'solution', 'souveraineté', 'frontière', 'conflit', 'reprise']",4079,5013,231380
3869,santé,"['clinique', 'expertise', 'invalidité', 'office', 'assurance', 'vacance', 'dirigeant', 'publication', 'arrêt', 'expert']",4081,5013,231389
3873,justice,"['affaire', 'autorité', 'tribunal', 'recours', 'voie', 'juge', 'fonctionnement', 'procédure', 'taux', 'délégation']",4085,5013,231512
3875,santé,"['patient', 'qualité', 'comparaison', 'souffrance', 'soin', 'programme', 'assuré', 'incident', 'développement', 'décès']",4087,5013,231513
3880,retraite-rentes,"['convention', 'rente', 'fraude', 'relation', 'cotisation', 'compte', 'assurance', 'amélioration', 'lutte', 'période']",4092,5013,231565
3887,politique,"['traité', 'juge', 'pacta', 'mot', 'règle', 'gré', 'engagement', 'texte', 'sunt', 'urbi']",4100,5013,231648
3893,politique,"['inscription', 'inscrit', 'contrevérité', 'approximation', 'guichet', 'imprécision', 'définitive', 'histoire', 'ville', 'argument']",4106,5013,231782
3899,formation-recherche,"['opinion', 'catalogue', 'donnée', 'engagement', 'activité', 'disant', 'vocabulaire', 'professeur', 'université', 'technique']",4112,5013,231916
3907,économie,"['marché', 'langue', 'adjudication', 'révision', 'ordonnance', 'assujettissement', 'offre', 'plan', 'législation', 'harmonisation']",4122,5013,232093
3919,économie,"['langue', 'plurilinguisme', 'adjudication', 'appel', 'construction', 'offre', 'propos', 'lettre', 'exigence', 'procédure']",4136,5013,232432
3929,économie,"['direction', 'société', 'assemblée', 'rémunération', 'rocade', 'indemnité', 'bourse', 'actionnaire', 'interdiction', 'membre']",4148,5013,232729
3933,économie,"['quota', 'fluctuation', 'direction', 'société', 'limite', 'introduction', 'marge', 'administration', 'entreprise', 'femme']",4152,5013,232760
3936,économie,"['actionnaire', 'préjudice', 'société', 'bourse', 'capital', 'investisseur', 'publication', 'seuil', 'action', 'indemnité']",4156,5013,232842
3939,transport,"['retard', 'exploitant', 'finance', 'échec', 'interprétation', 'reston', 'ponctualité', 'réseau', 'avalanche', 'réflexion']",4159,5013,229190
3944,société,"['égalité', 'contradiction', 'qualité', 'autorité', 'médiation', 'exécution', 'statut', 'approche', 'surveillance', 'promotion']",4164,5013,229303
3945,emploi,"['section', 'intercale', 'emplacement', 'habitude', 'page', 'discrimination', 'travail', 'occurrence', 'employeur', 'général']",4165,5013,229306
3949,emploi,"['égalité', 'analyse', 'dispensant', 'entreprise', 'obligation', 'discrimination', 'lacune', 'employeur', 'salaire', 'modèle']",4169,5013,229333
3952,emploi,"['discrimination', 'analyse', 'méthode', 'régression', 'variable', 'gratuitement', 'pratique', 'indice', 'employeur', 'outil']",4172,5013,229358
3958,justice,"['sanction', 'instauration', 'police', 'déclaration', 'salaire', 'introduction', 'propos', 'conséquent', 'administration', 'membre']",4178,5013,229383
3963,emploi,"['déclaration', 'méthode', 'salaire', 'égalité', 'employeur', 'concept', 'sanction', 'administré', 'critère', 'analyse']",4184,5013,229413
3964,formation-recherche,"['tiers', 'toilettage', 'unification', 'bibliothèque', 'honoraire', 'tâche', 'rapprochement', 'soumission', 'recherche', 'documentation']",4185,5013,229425
3966,politique,"['membre', 'avantage', 'assentiment', 'participant', 'nombre', 'limitation', 'communauté', 'diminution', 'consultation', 'intervention']",4188,5013,229437
3977,santé,"['analyse', 'information', 'test', 'public', 'élément', 'risque', 'gouvernement', 'administration', 'sexe', 'assurance']",4199,5013,229648
3980,santé,"['publicité', 'analyse', 'psychiatre', 'ordre', 'médicament', 'accès', 'appel', 'appréciation', 'activité', 'volontier']",4202,5013,229703
3985,armée-sécurité,"['armée', 'axe', 'instruction', 'infrastructure', 'militaire', 'système', 'troupe', 'protection', 'équipement', 'message']",4209,5013,230029
3991,politique,"['surveillance', 'classement', 'chevauchement', 'solution', 'nouvelle', 'autorité', 'service', 'précaution', 'local', 'moyen']",4215,5013,230088
4002,finance,"['compte', 'audit', 'mandat', 'écriture', 'libellé', 'location', 'service', 'informatique', 'montant', 'charge']",4227,5013,230438
4006,agriculture-faune,"['loup', 'mammifère', 'mouton', 'chasse', 'animal', 'régulation', 'chasseur', 'prédateur', 'faune', 'espèce']",4231,5013,230670
4013,finance,"['réforme', 'imposition', 'entreprise', 'cotisation', 'statut', 'concept', 'correction', 'financement', 'corsaire', 'progrès']",4238,5013,231200
4014,politique,"['créativité', 'ombre', 'entrée', 'parlement', 'masse', 'critique', 'média', 'travail', 'gouvernement', 'compromis']",4239,5013,231284
4015,immigration,"['réfugié', 'origine', 'provenance', 'asile', 'protection', 'retrait', 'qualité', 'obsèque', 'devoir', 'statut']",4240,5013,231559
4021,politique,"['endettement', 'frein', 'statu', 'salle', 'modification', 'travail', 'affaiblissement', 'conclusion', 'vestiaire', 'desiderata']",4246,5013,231838
4027,armée-sécurité,"['violence', 'sommet', 'interpellation', 'conflit', 'manifestation', 'bilan', 'victime', 'humiliation', 'chose', 'objectif']",4252,5013,231994
4035,santé,"['médicament', 'notice', 'trouble', 'malformation', 'risque', 'victime', 'spina', 'valproïque', 'acide', 'dérivé']",4260,5013,232178
4038,santé,"['assureur', 'audit', 'lettre', 'accouchement', 'manière', 'prestation', 'information', 'participation', 'prélèvement', 'rencontre']",4263,5013,232160
4042,culture-média,"['radio', 'artiste', 'télévision', 'redevance', 'interprète', 'montagne', 'musique', 'coopérative', 'tarif', 'subvention']",4267,5013,232231
4046,transport,"['sécurité', 'élément', 'sujet', 'doute', 'oeil', 'non', 'étude', 'dossier', 'ordonnance', 'automobiliste']",4271,5013,232254
4056,santé,"['suicide', 'assistance', 'vie', 'auteur', 'médecin', 'fin', 'directive', 'patient', 'organisation', 'égard']",4283,5013,232583
4070,retraite-rentes,"['capital', 'fortune', 'seuil', 'prestation', 'immeuble', 'prêt', 'couple', 'prévoyance', 'gage', 'montant']",4297,5014,233374
4078,énergie,"['nucléaire', 'énergie', 'charbon', 'production', 'électricité', 'hydraulique', 'réglage', 'voisin', 'investissement', 'redevance']",4305,5014,233436
4109,retraite-rentes,"['augmentation', 'cotisation', 'dépense', 'compensation', 'élément', 'contribution', 'plafonné', 'retraite', 'âge', 'femme']",4340,5014,233846
4132,armée-sécurité,"['gilet', 'protection', 'militaire', 'armée', 'économe', 'matériel', 'arsenal', 'approche', 'lieu', 'habillement']",4366,5014,234147
4141,armée-sécurité,"['munition', 'char', 'millimètre', 'crédit', 'stock', 'cartouche', 'valeur', 'acquisition', 'matériel', 'fusil']",4376,5014,234116
4154,extérieur,"['torture', 'homme', 'coalition', 'ong', 'mécanisme', 'interdiction', 'détenu', 'enceinte', 'organisation', 'traitement']",4390,5014,234206
4165,immigration,"['heure', 'influence', 'arrêt', 'migration', 'accueil', 'renvoi', 'soin', 'analyse', 'plan', 'développement']",4403,5014,234238
4173,armée-sécurité,"['marquage', 'arme', 'culasse', 'feu', 'boîtier', 'vigueur', 'élément', 'canon', 'phrase', 'lecture']",4414,5014,234407
4176,extérieur,"['convention', 'notification', 'étranger', 'requête', 'autorité', 'obtention', 'ambassade', 'entraide', 'demande', 'ratification']",4417,5014,234440
4177,télécommunications,"['préposé', 'activité', 'donnée', 'protection', 'directive', 'révision', 'conflit', 'unanimité', 'divergence', 'processus']",4418,5014,234434
4193,justice,"['frais', 'procédure', 'violence', 'justice', 'charge', 'foi', 'exception', 'défendeur', 'bracelet', 'système']",4434,5014,234736
4196,justice,"['récidive', 'violence', 'infraction', 'victime', 'enfant', 'office', 'durcissement', 'suspension', 'covictime', 'procédure']",4437,5014,234747
4202,santé,"['tarif', 'partenaire', 'analyse', 'assureur', 'fournisseur', 'laboratoire', 'prestation', 'système', 'naïveté', 'chose']",4443,5014,234812
4209,santé,"['tarif', 'référence', 'hôpital', 'résidence', 'fixation', 'traitement', 'établissement', 'concurrence', 'précision', 'choix']",4450,5014,234853
4211,santé,"['tarif', 'prestation', 'domicile', 'réalité', 'patient', 'référence', 'concurrence', 'prix', 'livre', 'santé']",4452,5014,234842
4225,santé,"['problème', 'ville', 'poussière', 'recherche', 'tapis', 'cannabis', 'bras', 'statu', 'partie', 'phénomène']",4466,5014,234929
4227,santé,"['recherche', 'cannabis', 'science', 'sociologie', 'physique', 'mathématique', 'psychologie', 'légalisation', 'étude', 'alibi']",4468,5014,234944
4228,santé,"['festival', 'jeune', 'cigarettier', 'tabagisme', 'cigarette', 'fabricant', 'tabac', 'publicité', 'précision', 'efficacité']",4469,5014,235050
4234,retraite-rentes,"['prévoyance', 'information', 'pilier', 'assuré', 'pension', 'accès', 'site', 'caisse', 'certificat', 'ouvrage']",4475,5014,234931
4240,santé,"['prothèse', 'handicap', 'amputé', 'autonomie', 'charge', 'vie', 'moyen', 'concitoyen', 'intégration', 'assurance']",4482,5014,235062
4241,santé,"['prothèse', 'moyen', 'invalidité', 'assurance', 'assuré', 'principe', 'charge', 'concurrence', 'égalité', 'prise']",4483,5014,234959
4252,justice,"['peine', 'réparation', 'culpabilité', 'sursis', 'auteur', 'variante', 'délit', 'consultation', 'infraction', 'possibilité']",4494,5014,235103
4253,politique,"['élection', 'autonomie', 'égalité', 'mode', 'circonscription', 'quorum', 'mars', 'changement', 'défaveur', 'organisation']",4495,5014,235109
4269,immigration,"['torture', 'requérant', 'transfert', 'manquement', 'traitement', 'ressortissant', 'jugement', 'retard', 'asile', 'accueil']",4514,5014,235320
4284,emploi,"['égalité', 'analyse', 'employé', 'salaire', 'apprenti', 'entreprise', 'obligation', 'calcul', 'employeur', 'effort']",4530,5014,235612
4298,justice,"['valeur', 'prison', 'comportement', 'discrimination', 'norme', 'fond', 'vie', 'société', 'protection']",4548,5014,235851
4299,société,"['orientation', 'sexe', 'infraction', 'notion', 'identité', 'hétérosexualité', 'bisexualité', 'attirance', 'juge', 'imprévisibilité']",4550,5014,235861
4309,armée-sécurité,"['matériel', 'blindage', 'exportation', 'conflit', 'destinataire', 'demande', 'sécurité', 'livraison', 'inconvénient', 'armement']",4562,5014,236035
4310,armée-sécurité,"['avion', 'arme', 'produit', 'moteur', 'exporton', 'vibration', 'exportation', 'biotechnologie', 'capteur', 'entreprise']",4563,5014,236024
4316,formation-recherche,"['réorganisation', 'recherche', 'restructuration', 'party', 'direction', 'exigence', 'été', 'août', 'satisfaite', 'évaluation']",4571,5014,236089
4324,écologie,"['glyphosate', 'abeille', 'intermédiaire', 'stratégie', 'rivière', 'flore', 'positionnement', 'secteur', 'produit', 'qualité']",4580,5014,236172
4343,armée-sécurité,"['armée', 'sécurité', 'cybersécurité', 'danger', 'parapluie', 'dépense', 'torture', 'promotion', 'terme', 'concitoyen']",4599,5014,236252
4351,immigration,"['détention', 'étranger', 'apatride', 'expulsion', 'aide', 'insoumission', 'prostitution', 'capacité', 'détenu', 'version']",4607,5014,236391
4353,emploi,"['accompagnement', 'travailleur', 'négociation', 'système', 'syndicat', 'sondé', 'épouvantail', 'salaire', 'reprise', 'citoyenneté']",4609,5014,236417
4373,armée-sécurité,"['arme', 'directive', 'particularité', 'commandant', 'police', 'policier', 'compromis', 'domicile', 'terrorisme', 'registre']",4633,5014,233479
4386,justice,"['frais', 'assurance', 'procédure', 'tribunal', 'gratuite', 'justice', 'invalidité', 'gratuité', 'prestation', 'époque']",4646,5014,234575
4387,santé,"['convention', 'pratique', 'référendum', 'délégation', 'assuré', 'compétence', 'satisfaction', 'traité', 'note', 'faveur']",4647,5014,234585
4389,extérieur,"['convention', 'successeur', 'sécurité', 'contractant', 'relation', 'bilatérale', 'texte', 'table', 'circulation', 'négociation']",4649,5014,234606
4396,santé,"['médication', 'patient', 'polymédication', 'médicament', 'dossier', 'piste', 'aperçu', 'résident', 'plan', 'professionnel']",4656,5014,234642
4408,immigration,"['requérant', 'dictature', 'gouvernement', 'foi', 'réfugié', 'enrôlement', 'asile', 'flot', 'rêve', 'diplomate']",4669,5014,234904
4410,politique,"['tradition', 'membre', 'député', 'minute', 'règlement', 'chance', 'moment', 'principe']",4671,5014,235004
4411,politique,"['tradition', 'argument', 'règlement', 'manière', 'respect', 'résultat', 'membre', 'partie', 'travail']",4672,5014,234995
4419,finance,"['péréquation', 'ciment', 'charge', 'ressource', 'région', 'fédéralisme', 'potentiel', 'allocution', 'manche', 'base']",4680,5014,235533
4423,économie,"['huile', 'palme', 'importation', 'forêt', 'santé', 'acide', 'palmier', 'quintal', 'principe', 'plantation']",4684,5014,235806
4428,armée-sécurité,"['cybersécurité', 'sécurité', 'chaîne', 'standard', 'niveau', 'information', 'aspect', 'échelon', 'maîtrise', 'hyperconnexion']",4690,5014,235953
4440,économie,"['temps', 'clause', 'juillet', 'installation', 'préhistoire', 'solution', 'calme', 'sérénité', 'travail', 'augmentation']",4703,5015,237058
4441,santé,"['franchise', 'assurance', 'coût', 'maladie', 'montant', 'soin', 'évolution', 'prime', 'option', 'introduction']",4704,5015,237102
4461,finance,"['budget', 'montant', 'pauvreté', 'crédit', 'réduction', 'fonctionnement', 'bloc', 'égalité', 'unanimité', 'femme']",4724,5015,237498
4476,formation-recherche,"['jeunesse', 'recherche', 'formation', 'message', 'génération', 'diamant', 'innovation', 'capacité', 'dépense', 'leader']",4740,5015,237673
4487,emploi,"['frais', 'événement', 'vide', 'assurance', 'cadeau', 'modalité', 'dommage', 'accident', 'collaborateur', 'directive']",4751,5015,237890
4499,transport,"['système', 'quantité', 'certificat', 'objectif', 'aéronef', 'prix', 'veille', 'adresse', 'euro', 'aviation']",4764,5015,238098
4502,écologie,"['couplage', 'quota', 'émission', 'règle', 'combustible', 'aviation', 'système', 'tamoil', 'circulation', 'imprévu']",4767,5015,238142
4504,écologie,"['carburant', 'réchauffement', 'bloc', 'taxe', 'édifice', 'texte', 'émission', 'lobby', 'écho', 'transport']",4769,5015,238154
4510,écologie,"['place', 'secteur', 'changement', 'risque', 'banque', 'émission', 'branche', 'carbone', 'objectif', 'stabilité']",4775,5015,238215
4511,écologie,"['émission', 'serre', 'gaz', 'réduction', 'valeur', 'objectif', 'exactitude', 'cible', 'réchauffement', 'terme']",4776,5015,238221
4524,formation-recherche,"['formation', 'peine', 'candidat', 'report', 'filière', 'octroi', 'signal', 'charge', 'moyen', 'objectif']",4790,5015,238707
4526,finance,"['manipulation', 'endettement', 'frein', 'crédit', 'montant', 'porte', 'risquera', 'migration', 'augmentation', 'caricatural']",4793,5015,238719
4533,politique,"['portée', 'concept', 'fond', 'pacte', 'anglais', 'traduction', 'détermination', 'objet', 'constat', 'processus']",4803,5015,238783
4545,retraite-rentes,"['pension', 'initiieren', 'caisse', 'verbe', 'fonds', 'avenir', 'terminologie', 'traduction', 'lancement', 'allemand']",4821,5015,238913
4548,justice,"['juge', 'poste', 'francophone', 'ordonnance', 'malaise', 'langue', 'création', 'temps', 'crabe', 'appel']",4824,5015,238951
4556,retraite-rentes,"['assurance', 'laa', 'famille', 'accident', 'taxe', 'exploitation', 'membre', 'limitation', 'intentionnel', 'statut']",4832,5015,239133
4564,extérieur,"['migration', 'pacte', 'but', 'migrant', 'souffrance', 'octobre', 'septembre', 'augmentation', 'fois']",4840,5015,239317
4577,logement-territoire,"['roulement', 'association', 'fonds', 'coopérative', 'habitation', 'modalité', 'rémunération', 'logement', 'utilité', 'construction']",4855,5015,239546
4595,finance,"['beurre', 'revenu', 'sein', 'figure', 'contribuable', 'locataire', 'encontre', 'expression', 'impôt', 'rejet']",4874,5015,239759
4596,logement-territoire,"['logement', 'loyer', 'habitation', 'ville', 'abaissement', 'budget', 'pauvreté', 'ménage', 'construction', 'mission']",4875,5015,239781
4599,logement-territoire,"['logement', 'acteur', 'gérance', 'locataire', 'concurrence', 'habitation', 'utilité', 'loyer', 'coopérative', 'monopole']",4878,5015,239851
4600,retraite-rentes,"['pension', 'acteur', 'caisse', 'argent', 'logement', 'gérance', 'coopérative', 'rentabilité', 'habitation', 'gouvernance']",4879,5015,239845
4609,santé,"['coût', 'médecin', 'admission', 'augmentation', 'assurance', 'soin', 'limitation', 'densité', 'prime', 'cabinet']",4888,5015,239850
4610,santé,"['médecin', 'admission', 'hôpital', 'formation', 'établissement', 'discipline', 'soin', 'cardiologue', 'spécialité', 'critère']",4889,5015,239904
4611,extérieur,"['regrette', 'préférence', 'point', 'route', 'égard', 'engagement', 'résultat', 'vue', 'solution', 'moyen']",4890,5015,239856
4629,économie,"['rémunération', 'inaliénable', 'contrat', 'pose', 'auteur', 'producteur', 'utilisation', 'conseiller']",4909,5015,240072
4665,écologie,"['assainissement', 'joker', 'règle', 'élève', 'déchet', 'fois', 'défaut', 'appui', 'site', 'jeu']",4955,5015,237543
4672,extérieur,"['pacte', 'diplomate', 'migration', 'hiérarchie', 'séparation', 'traité', 'instruction', 'attaque', 'instar', 'part']",4963,5015,237723
4677,formation-recherche,"['établissement', 'recherche', 'interface', 'richesse', 'fruit', 'passage', 'transfert', 'encouragement', 'phase', 'somme']",4968,5015,238112
4678,écologie,"['fracturation', 'gaz', 'schiste', 'hydrocarbure', 'exploration', 'géothermie', 'sens', 'réchauffement', 'serre', 'énergie']",4969,5015,238117
4691,politique,"['cher', 'sens', 'expression', 'renvoi', 'pression', 'ordre', 'dossier', 'engagement', 'sorte', 'population']",4983,5015,238739
4711,politique,"['société', 'vote', 'jour', 'dépliant', 'novembre', 'seconde', 'histoire', 'monnaie', 'ensemble', 'séance']",5004,5015,239326
4712,économie,"['loyauté', 'société', 'objet', 'doute', 'action', 'nouveauté', 'classement', 'biais', 'problématique', 'législation']",5005,5015,239336
4728,armée-sécurité,"['traité', 'arme', 'interdiction', 'désarmement', 'destruction', 'réputation', 'armement', 'déclaratoire', 'adhérant', 'terreur']",5021,5015,239785
4735,économie,"['surveillance', 'directive', 'activité', 'prudence', 'banque', 'pilotage', 'plainte', 'régulation', 'indépendance', 'autorégulation']",5029,5015,240068
4736,politique,"['collaborateur', 'travail', 'huissier', 'voeu', 'bouquet', 'persévérance', 'fleur', 'talent', 'nom', 'sein']",5030,5015,240174
4750,finance,"['bière', 'brasserie', 'impôt', 'imposition', 'alcool', 'teneur', 'échelonnement', 'taille', 'quantité', 'taux']",5044,5016,240630
4786,santé,"['profession', 'ingénieur', 'autorisation', 'médecin', 'sanction', 'supervision', 'interdiction', 'problème', 'systématique', 'produit']",5081,5016,241076
4788,économie,"['produit', 'producteur', 'règlement', 'impérialisme', 'branche', 'face', 'défenseur', 'amendement', 'modalité', 'centaine']",5083,5016,241086
4791,retraite-rentes,"['réforme', 'expertise', 'assurance', 'invalidité', 'assuré', 'rente', 'enfant', 'système', 'bénéficiaire', 'prestation']",5086,5016,241095
4794,formation-recherche,"['formation', 'handicap', 'jeune', 'durée', 'chance', 'performance', 'seuil', 'marché', 'réglemente', 'temps']",5089,5016,241169
4806,société,"['collaboration', 'partenaire', 'procédurau', 'intégration', 'assuré', 'confiance', 'citoyen', 'convention', 'bloc', 'union']",5101,5016,241366
4814,emploi,"['lieu', 'exécution', 'travail', 'principe', 'provenance', 'condition', 'vigueur', 'région', 'prestation', 'convention']",5109,5016,241496
4821,économie,"['créance', 'billet', 'thèse', 'banque', 'coup', 'justification', 'planète', 'parti', 'argent', 'valeur']",5116,5016,241540
4827,immigration,"['subvention', 'manquement', 'asile', 'exécution', 'octobre', 'fin', 'nombre', 'arrêt', 'vertu', 'résumé']",5122,5016,241547
4833,armée-sécurité,"['campagne', 'arme', 'ordre', 'chef', 'votation', 'armée', 'consigne', 'rang', 'militaire', 'salle']",5130,5016,241589
4834,économie,"['prêt', 'violation', 'banque', 'image', 'dispositif', 'genre', 'argent', 'difficulté', 'face', 'objet']",5131,5016,241596
4836,transport,"['agglomération', 'trafic', 'travail', 'raisonnement', 'fonds', 'taux', 'programme', 'financement', 'somme', 'retouche']",5133,5016,241706
4854,énergie,"['électricité', 'flexibilisation', 'redevance', 'flexibilité', 'contribution', 'aménagement', 'part', 'investissement', 'prix', 'réalisation']",5151,5016,242022
4858,société,"['insertion', 'imposition', 'femme', 'encouragement', 'monde', 'heure', 'élu', 'poste', 'introduction', 'étude']",5155,5016,242099
4880,justice,"['recours', 'principe', 'violation', 'juge', 'recevabilité', 'élément', 'liberté', 'croyance', 'accès', 'arbitraire']",5178,5016,242382
