,topic_idx,topic_score,topic_name,cat,transcript_words,topic_words
3367,2,1,économie,économie,"['robot', 'reconversion', 'productivité', 'taxation', 'variante', 'gain', 'emploi', 'choix', 'cause', 'but']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
3384,11,0.125,travail,emploi,"['convention', 'travail', 'durée', 'temps', 'progrès', 'réalité', 'titre', 'place']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
3385,5,0.459,finance,emploi,"['convention', 'impact', 'productivité', 'salarié', 'partenariat', 'regard', 'baisse', 'santé', 'conseiller']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
3390,4,1,agriculture,agriculture-faune,"['sucre', 'prix', 'production', 'marché', 'douane', 'solution', 'suite', 'betterave', 'quota', 'culture']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
3401,22,1,communication,télécommunications,"['commune', 'critère', 'région', 'ordonnance', 'fermeture', 'niveau', 'maintien', 'office', 'revanche', 'aspect']",numéro - distribution - service - réseau - agence - poste - office - donnée - région - antenne
3414,2,1,économie,économie,"['investissement', 'protection', 'api', 'arbitrage', 'ciblage', 'professeure', 'économie', 'développement', 'progression', 'investisseur']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
3420,2,0.151,économie,économie,"['entrave', 'produit', 'commerce', 'principe', 'homologation', 'déclaration', 'test', 'prescription', 'réétiquetage', 'aspect']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
3424,21,0.012,loisirs,manifestation-loisirs,"['olympiade', 'coût', 'participation', 'formation', 'jeune', 'part', 'excellence', 'lieu', 'final', 'manifestation']",sport - jeu - manifestation - élite - casino - joueur - fédération - soutien - club - sportif
3431,10,0.089,sécurité,armée-sécurité,"['cyberdéfense', 'stratégie', 'civil', 'armée', 'plan', 'action', 'défense', 'doublon', 'mission', 'cybersécurité']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
3442,6,0.12,justice,justice,"['avocat', 'secret', 'affaire', 'panama', 'activité', 'justice', 'tribunal', 'sanction', 'fiduciaire', 'barreau']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
3458,6,0.134,justice,justice,"['urbi', 'dénonciateur', 'orbi', 'plaignant', 'acte', 'audience', 'procédure', 'fois', 'public', 'victime']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
3468,0,0.458,santé,santé,"['médicament', 'information', 'patient', 'médecin', 'notice', 'emballage', 'psychotrope', 'professionnel', 'plate', 'pharmacien']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
3473,1,1,politique,culture-média,"['télévision', 'gouvernement', 'votation', 'ambiguïté', 'citoyen', 'liberté', 'redevance', 'comité', 'opinion', 'allocution']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
3484,18,1,énergie,énergie,"['compagnie', 'tarif', 'électricité', 'différence', 'prix', 'coût', 'réseau', 'commune', 'production']",énergie - électricité - installation - approvisionnement - production - prix - réseau - marché - consommation - bâtiment
3488,10,0.066,sécurité,télécommunications,"['offliner', 'numérique', 'donnée', 'numérisation', 'privacy', 'dématérialisation', 'géant', 'commande', 'inquiétude', 'alternative']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
3490,1,0.145,politique,télécommunications,"['office', 'agence', 'population', 'poste', 'annonce', 'localité', 'client', 'démantèlement', 'suppression', 'exécutif']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
3492,11,0.078,travail,emploi,"['classe', 'rétribution', 'ordinateur', 'argument', 'travail', 'hémicycle', 'heure', 'voyage', 'souhait', 'motif']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
3497,1,0.024,politique,société,"['foulard', 'dame', 'uniforme', 'voile', 'signe', 'sortie', 'règlement', 'type', 'terme']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
3517,10,0.561,sécurité,armée-sécurité,"['flou', 'cybersécurité', 'objection', 'surcoût', 'report', 'coût', 'mise', 'oeuvre', 'bénéfice', 'cause']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
3518,10,0.064,sécurité,armée-sécurité,"['ambition', 'coût', 'résidu', 'information', 'niveau', 'attaque', 'système', 'dommage', 'spécialiste', 'exploitation']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
3524,15,1,transport,transport,"['voiture', 'carsharing', 'stratégie', 'fonction', 'fonctionnaire', 'département', 'système', 'partenariat', 'colocation', 'économie']",transport - véhicule - trafic - route - infrastructure - réseau - vélo - mobilité - agglomération - kilomètre
3534,1,1,politique,politique,"['règle', 'respect', 'calendrier', 'référendum', 'option', 'jeu', 'aspect', 'nom', 'niveau', 'problème']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
3536,1,1,politique,politique,"['réalisation', 'candidature', 'cité', 'possibilité', 'opinion', 'référendum', 'interpellation', 'votation', 'garantie', 'mot']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
3539,21,1,loisirs,manifestation-loisirs,"['base', 'forme', 'organisateur', 'déficit', 'couverture', 'manifestation', 'portée', 'sport', 'subvention', 'encouragement']",sport - jeu - manifestation - élite - casino - joueur - fédération - soutien - club - sportif
3553,11,0.281,travail,emploi,"['indemnité', 'chômage', 'raccourci', 'emploi', 'licencier', 'aide', 'demi', 'carrière', 'congé', 'couverture']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
3554,11,1,travail,emploi,"['chômage', 'demandeur', 'assurance', 'tranche', 'emploi', 'âge', 'suite', 'senior', 'mois', 'prestation']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
3558,1,0.024,politique,politique,"['responsable', 'rentabilité', 'gouvernance', 'lumière', 'véhicule', 'lièvre', 'réviseur', 'fidélité', 'objectif', 'pratique']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
3570,16,0.086,retraite,retraite-rentes,"['prestation', 'prévoyance', 'capital', 'réforme', 'fortune', 'incitation', 'niveau', 'vieillesse', 'prélèvement', 'immigration']",rente - pilier - retraite - réforme - âge - femme - prévoyance - taux - compensation - prestation
3573,14,0.212,logement,logement-territoire,"['loyer', 'région', 'montant', 'logement', 'bénéficiaire', 'lac', 'bord', 'fonction', 'domicile', 'regard']",loyer - locataire - logement - bail - bailleur - propriétaire - construction - argent - fonds - blanchiment
3587,10,0.371,sécurité,armée-sécurité,"['gouvernance', 'cyberespace', 'numérique', 'espace', 'cyber', 'algorithme', 'valeur', 'démocratie', 'type', 'menace']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
3599,13,0.226,immigration,immigration,"['couloir', 'migrant', 'idée', 'organisation', 'asile', 'contingent', 'côté', 'angle', 'corvette', 'linceul']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
3620,7,0.051,armée,armée-sécurité,"['militaire', 'musulman', 'donnée', 'religion', 'plaquette', 'communautarisme', 'confession', 'habitude', 'appartenance', 'armée']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
3648,11,1,travail,emploi,"['modèle', 'critique', 'fille', 'autodéclaration', 'employeur', 'respect', 'foi', 'membre', 'renvoi', 'nombre']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
3662,21,0.532,loisirs,manifestation-loisirs,"['sport', 'traversion', 'coordonné', 'état', 'important', 'compétition', 'élite', 'relève', 'lieu', 'finance']",sport - jeu - manifestation - élite - casino - joueur - fédération - soutien - club - sportif
3673,0,0.174,santé,écologie,"['marais', 'tourbière', 'nerf', 'altitude', 'financement', 'détérioration', 'musée', 'subventionnement', 'approfondie', 'population']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
3675,4,1,agriculture,santé,"['sucre', 'obésité', 'diabète', 'prévalence', 'aliment', 'industrie', 'épidémie', 'boisson', 'diabésité', 'lutte']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
3680,2,0.183,économie,économie,"['banque', 'taille', 'assujetti', 'risque', 'activité', 'corrélation', 'risikobasiert', 'risikobasierte', 'surveillance', 'mandat']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
3707,1,0.235,politique,extérieur,"['malentendu', 'party', 'solution', 'procédure', 'rencontre', 'disponibilité', 'lumière', 'part', 'stabilité', 'parallèle']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
3719,7,0.037,armée,armée-sécurité,"['guerre', 'drame', 'conflit', 'horreur', 'dictature', 'déclaration', 'force', 'crime', 'sarin', 'devoir']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
3724,7,0.164,armée,armée-sécurité,"['checkpoint', 'groupuscule', 'belligérant', 'dépositaire', 'valeur', 'nord', 'nom', 'troupe', 'opération', 'directeur']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
3730,17,0.2,autre,finance,"['prestataire', 'perfectionnement', 'obligation', 'service', 'autoréglementation', 'norme', 'formation', 'divergence', 'information', 'branche']",divergence - version - prestation - montant - point - lettre - abstention - unanimité - objet - modification
3764,10,0.279,sécurité,armée-sécurité,"['arme', 'résiliation', 'libéralisme', 'millier', 'centaine', 'attentat', 'terroriste', 'durcissement', 'détenteur', 'liberté']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
3772,7,0.264,armée,armée-sécurité,"['arme', 'patente', 'commerce', 'chargeur', 'acquéreur', 'délai', 'héritier', 'suicide', 'traçabilité', 'titre']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
3775,7,0.056,armée,armée-sécurité,"['arme', 'tir', 'autorisation', 'contrôle', 'faculté', 'tireur', 'directive', 'acquisition', 'condition', 'concept']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
3779,7,0.062,armée,armée-sécurité,"['directive', 'blouse', 'drapeau', 'imprécision', 'rouge', 'paragraphe', 'orateur', 'annonce', 'arme', 'autorisation']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
3801,1,0.104,politique,politique,"['expert', 'administration', 'propriétaire', 'irrégularité', 'fonction', 'période', 'présidence', 'cabinet', 'secrétariat', 'expertise']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
3807,4,0.362,agriculture,agriculture-faune,"['initiant', 'agriculteur', 'esprit', 'stabulation', 'bête', 'type', 'élevage', 'accompagnement', 'animal', 'espace']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
3819,5,0.188,finance,armée-sécurité,"['dollar', 'pib', 'habitant', 'dépense', 'suite', 'armée', 'vitam', 'principe', 'fond', 'budget']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
3828,9,0.114,extérieur,extérieur,"['coopération', 'accent', 'message', 'thème', 'réflexion', 'engagement', 'réorganisation', 'clé', 'chapitre', 'lecture']",coopération - développement - aide - sanction - paix - relation - objectif - dialogue - région - neutralité
3853,8,0.238,écologie,logement-territoire,"['surface', 'zone', 'superficie', 'terre', 'étable', 'denrée', 'assolement', 'développement', 'habitat', 'gaspillage']",émission - eau - objectif - biodiversité - zone - pesticide - surface - climat - produit - réduction
3862,7,1,armée,armée-sécurité,"['commandant', 'logiciel', 'armée', 'militaire', 'tâche', 'congé', 'numérisation', 'adjudant', 'mil', 'service']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
3868,9,1,extérieur,extérieur,"['paix', 'reconnaissance', 'relance', 'dynamique', 'résolution', 'solution', 'souveraineté', 'frontière', 'conflit', 'reprise']",coopération - développement - aide - sanction - paix - relation - objectif - dialogue - région - neutralité
3869,0,1,santé,santé,"['clinique', 'expertise', 'invalidité', 'office', 'assurance', 'vacance', 'dirigeant', 'publication', 'arrêt', 'expert']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
3873,6,0.128,justice,justice,"['affaire', 'autorité', 'tribunal', 'recours', 'voie', 'juge', 'fonctionnement', 'procédure', 'taux', 'délégation']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
3875,0,0.293,santé,santé,"['patient', 'qualité', 'comparaison', 'souffrance', 'soin', 'programme', 'assuré', 'incident', 'développement', 'décès']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
3880,10,0.085,sécurité,retraite-rentes,"['convention', 'rente', 'fraude', 'relation', 'cotisation', 'compte', 'assurance', 'amélioration', 'lutte', 'période']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
3887,1,0.013,politique,politique,"['traité', 'juge', 'pacta', 'mot', 'règle', 'gré', 'engagement', 'texte', 'sunt', 'urbi']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
3893,17,0.137,autre,politique,"['inscription', 'inscrit', 'contrevérité', 'approximation', 'guichet', 'imprécision', 'définitive', 'histoire', 'ville', 'argument']",divergence - version - prestation - montant - point - lettre - abstention - unanimité - objet - modification
3899,10,0.174,sécurité,formation-recherche,"['opinion', 'catalogue', 'donnée', 'engagement', 'activité', 'disant', 'vocabulaire', 'professeur', 'université', 'technique']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
3907,2,0.185,économie,économie,"['marché', 'langue', 'adjudication', 'révision', 'ordonnance', 'assujettissement', 'offre', 'plan', 'législation', 'harmonisation']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
3919,12,0.051,formation,économie,"['langue', 'plurilinguisme', 'adjudication', 'appel', 'construction', 'offre', 'propos', 'lettre', 'exigence', 'procédure']",formation - école - recherche - innovation - langue - programme - encouragement - message - compétence - étudiant
3929,2,0.017,économie,économie,"['direction', 'société', 'assemblée', 'rémunération', 'rocade', 'indemnité', 'bourse', 'actionnaire', 'interdiction', 'membre']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
3933,2,1,économie,économie,"['quota', 'fluctuation', 'direction', 'société', 'limite', 'introduction', 'marge', 'administration', 'entreprise', 'femme']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
3936,2,0.143,économie,économie,"['actionnaire', 'préjudice', 'société', 'bourse', 'capital', 'investisseur', 'publication', 'seuil', 'action', 'indemnité']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
3939,15,0.195,transport,transport,"['retard', 'exploitant', 'finance', 'échec', 'interprétation', 'reston', 'ponctualité', 'réseau', 'avalanche', 'réflexion']",transport - véhicule - trafic - route - infrastructure - réseau - vélo - mobilité - agglomération - kilomètre
3944,3,0.387,société,société,"['égalité', 'contradiction', 'qualité', 'autorité', 'médiation', 'exécution', 'statut', 'approche', 'surveillance', 'promotion']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
3945,3,0.262,société,emploi,"['section', 'intercale', 'emplacement', 'habitude', 'page', 'discrimination', 'travail', 'occurrence', 'employeur', 'général']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
3949,11,0.469,travail,emploi,"['égalité', 'analyse', 'dispensant', 'entreprise', 'obligation', 'discrimination', 'lacune', 'employeur', 'salaire', 'modèle']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
3952,11,0.544,travail,emploi,"['discrimination', 'analyse', 'méthode', 'régression', 'variable', 'gratuitement', 'pratique', 'indice', 'employeur', 'outil']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
3958,6,0.109,justice,justice,"['sanction', 'instauration', 'police', 'déclaration', 'salaire', 'introduction', 'propos', 'conséquent', 'administration', 'membre']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
3963,11,0.554,travail,emploi,"['déclaration', 'méthode', 'salaire', 'égalité', 'employeur', 'concept', 'sanction', 'administré', 'critère', 'analyse']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
3964,2,0.169,économie,formation-recherche,"['tiers', 'toilettage', 'unification', 'bibliothèque', 'honoraire', 'tâche', 'rapprochement', 'soumission', 'recherche', 'documentation']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
3966,1,0.153,politique,politique,"['membre', 'avantage', 'assentiment', 'participant', 'nombre', 'limitation', 'communauté', 'diminution', 'consultation', 'intervention']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
3977,0,1,santé,santé,"['analyse', 'information', 'test', 'public', 'élément', 'risque', 'gouvernement', 'administration', 'sexe', 'assurance']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
3980,0,0.07,santé,santé,"['publicité', 'analyse', 'psychiatre', 'ordre', 'médicament', 'accès', 'appel', 'appréciation', 'activité', 'volontier']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
3985,7,0.384,armée,armée-sécurité,"['armée', 'axe', 'instruction', 'infrastructure', 'militaire', 'système', 'troupe', 'protection', 'équipement', 'message']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
3991,1,0.074,politique,politique,"['surveillance', 'classement', 'chevauchement', 'solution', 'nouvelle', 'autorité', 'service', 'précaution', 'local', 'moyen']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
4002,5,0.175,finance,finance,"['compte', 'audit', 'mandat', 'écriture', 'libellé', 'location', 'service', 'informatique', 'montant', 'charge']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
4006,4,1,agriculture,agriculture-faune,"['loup', 'mammifère', 'mouton', 'chasse', 'animal', 'régulation', 'chasseur', 'prédateur', 'faune', 'espèce']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
4013,5,0.06,finance,finance,"['réforme', 'imposition', 'entreprise', 'cotisation', 'statut', 'concept', 'correction', 'financement', 'corsaire', 'progrès']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
4014,19,0.022,média,politique,"['créativité', 'ombre', 'entrée', 'parlement', 'masse', 'critique', 'média', 'travail', 'gouvernement', 'compromis']",média - télévision - redevance - radio - presse - service - information - diversité - journaliste - région
4015,13,0.074,immigration,immigration,"['réfugié', 'origine', 'provenance', 'asile', 'protection', 'retrait', 'qualité', 'obsèque', 'devoir', 'statut']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
4021,14,0.19,logement,politique,"['endettement', 'frein', 'statu', 'salle', 'modification', 'travail', 'affaiblissement', 'conclusion', 'vestiaire', 'desiderata']",loyer - locataire - logement - bail - bailleur - propriétaire - construction - argent - fonds - blanchiment
4027,3,0.453,société,armée-sécurité,"['violence', 'sommet', 'interpellation', 'conflit', 'manifestation', 'bilan', 'victime', 'humiliation', 'chose', 'objectif']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
4035,0,0.169,santé,santé,"['médicament', 'notice', 'trouble', 'malformation', 'risque', 'victime', 'spina', 'valproïque', 'acide', 'dérivé']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
4038,3,1,société,santé,"['assureur', 'audit', 'lettre', 'accouchement', 'manière', 'prestation', 'information', 'participation', 'prélèvement', 'rencontre']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
4042,19,0.048,média,culture-média,"['radio', 'artiste', 'télévision', 'redevance', 'interprète', 'montagne', 'musique', 'coopérative', 'tarif', 'subvention']",média - télévision - redevance - radio - presse - service - information - diversité - journaliste - région
4046,1,0.147,politique,transport,"['sécurité', 'élément', 'sujet', 'doute', 'oeil', 'non', 'étude', 'dossier', 'ordonnance', 'automobiliste']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
4056,6,0.137,justice,santé,"['suicide', 'assistance', 'vie', 'auteur', 'médecin', 'fin', 'directive', 'patient', 'organisation', 'égard']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
4070,17,0.062,autre,retraite-rentes,"['capital', 'fortune', 'seuil', 'prestation', 'immeuble', 'prêt', 'couple', 'prévoyance', 'gage', 'montant']",divergence - version - prestation - montant - point - lettre - abstention - unanimité - objet - modification
4078,18,0.126,énergie,énergie,"['nucléaire', 'énergie', 'charbon', 'production', 'électricité', 'hydraulique', 'réglage', 'voisin', 'investissement', 'redevance']",énergie - électricité - installation - approvisionnement - production - prix - réseau - marché - consommation - bâtiment
4109,16,0.167,retraite,retraite-rentes,"['augmentation', 'cotisation', 'dépense', 'compensation', 'élément', 'contribution', 'plafonné', 'retraite', 'âge', 'femme']",rente - pilier - retraite - réforme - âge - femme - prévoyance - taux - compensation - prestation
4132,7,1,armée,armée-sécurité,"['gilet', 'protection', 'militaire', 'armée', 'économe', 'matériel', 'arsenal', 'approche', 'lieu', 'habillement']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
4141,7,0.319,armée,armée-sécurité,"['munition', 'char', 'millimètre', 'crédit', 'stock', 'cartouche', 'valeur', 'acquisition', 'matériel', 'fusil']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
4154,3,0.016,société,extérieur,"['torture', 'homme', 'coalition', 'ong', 'mécanisme', 'interdiction', 'détenu', 'enceinte', 'organisation', 'traitement']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
4165,13,0.07,immigration,immigration,"['heure', 'influence', 'arrêt', 'migration', 'accueil', 'renvoi', 'soin', 'analyse', 'plan', 'développement']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
4173,7,0.376,armée,armée-sécurité,"['marquage', 'arme', 'culasse', 'feu', 'boîtier', 'vigueur', 'élément', 'canon', 'phrase', 'lecture']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
4176,5,0.133,finance,extérieur,"['convention', 'notification', 'étranger', 'requête', 'autorité', 'obtention', 'ambassade', 'entraide', 'demande', 'ratification']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
4177,10,0.01,sécurité,télécommunications,"['préposé', 'activité', 'donnée', 'protection', 'directive', 'révision', 'conflit', 'unanimité', 'divergence', 'processus']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
4193,6,0.127,justice,justice,"['frais', 'procédure', 'violence', 'justice', 'charge', 'foi', 'exception', 'défendeur', 'bracelet', 'système']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
4196,6,0.138,justice,justice,"['récidive', 'violence', 'infraction', 'victime', 'enfant', 'office', 'durcissement', 'suspension', 'covictime', 'procédure']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
4202,0,0.414,santé,santé,"['tarif', 'partenaire', 'analyse', 'assureur', 'fournisseur', 'laboratoire', 'prestation', 'système', 'naïveté', 'chose']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
4209,0,0.636,santé,santé,"['tarif', 'référence', 'hôpital', 'résidence', 'fixation', 'traitement', 'établissement', 'concurrence', 'précision', 'choix']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
4211,0,0.189,santé,santé,"['tarif', 'prestation', 'domicile', 'réalité', 'patient', 'référence', 'concurrence', 'prix', 'livre', 'santé']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
4225,0,0.654,santé,santé,"['problème', 'ville', 'poussière', 'recherche', 'tapis', 'cannabis', 'bras', 'statu', 'partie', 'phénomène']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
4227,0,0.522,santé,santé,"['recherche', 'cannabis', 'science', 'sociologie', 'physique', 'mathématique', 'psychologie', 'légalisation', 'étude', 'alibi']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
4228,0,0.786,santé,santé,"['festival', 'jeune', 'cigarettier', 'tabagisme', 'cigarette', 'fabricant', 'tabac', 'publicité', 'précision', 'efficacité']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
4234,16,0.145,retraite,retraite-rentes,"['prévoyance', 'information', 'pilier', 'assuré', 'pension', 'accès', 'site', 'caisse', 'certificat', 'ouvrage']",rente - pilier - retraite - réforme - âge - femme - prévoyance - taux - compensation - prestation
4240,3,0.006,société,santé,"['prothèse', 'handicap', 'amputé', 'autonomie', 'charge', 'vie', 'moyen', 'concitoyen', 'intégration', 'assurance']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
4241,0,0.155,santé,santé,"['prothèse', 'moyen', 'invalidité', 'assurance', 'assuré', 'principe', 'charge', 'concurrence', 'égalité', 'prise']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
4252,6,1,justice,justice,"['peine', 'réparation', 'culpabilité', 'sursis', 'auteur', 'variante', 'délit', 'consultation', 'infraction', 'possibilité']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
4253,1,0.142,politique,politique,"['élection', 'autonomie', 'égalité', 'mode', 'circonscription', 'quorum', 'mars', 'changement', 'défaveur', 'organisation']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
4269,13,0.054,immigration,immigration,"['torture', 'requérant', 'transfert', 'manquement', 'traitement', 'ressortissant', 'jugement', 'retard', 'asile', 'accueil']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
4284,11,0.321,travail,emploi,"['égalité', 'analyse', 'employé', 'salaire', 'apprenti', 'entreprise', 'obligation', 'calcul', 'employeur', 'effort']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
4298,6,0.186,justice,justice,"['valeur', 'prison', 'comportement', 'discrimination', 'norme', 'fond', 'vie', 'société', 'protection']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
4299,3,0.206,société,société,"['orientation', 'sexe', 'infraction', 'notion', 'identité', 'hétérosexualité', 'bisexualité', 'attirance', 'juge', 'imprévisibilité']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
4309,7,0.059,armée,armée-sécurité,"['matériel', 'blindage', 'exportation', 'conflit', 'destinataire', 'demande', 'sécurité', 'livraison', 'inconvénient', 'armement']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
4310,7,0.059,armée,armée-sécurité,"['avion', 'arme', 'produit', 'moteur', 'exporton', 'vibration', 'exportation', 'biotechnologie', 'capteur', 'entreprise']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
4316,1,0.032,politique,formation-recherche,"['réorganisation', 'recherche', 'restructuration', 'party', 'direction', 'exigence', 'été', 'août', 'satisfaite', 'évaluation']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
4324,4,1,agriculture,écologie,"['glyphosate', 'abeille', 'intermédiaire', 'stratégie', 'rivière', 'flore', 'positionnement', 'secteur', 'produit', 'qualité']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
4343,7,0.034,armée,armée-sécurité,"['armée', 'sécurité', 'cybersécurité', 'danger', 'parapluie', 'dépense', 'torture', 'promotion', 'terme', 'concitoyen']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
4351,13,0.372,immigration,immigration,"['détention', 'étranger', 'apatride', 'expulsion', 'aide', 'insoumission', 'prostitution', 'capacité', 'détenu', 'version']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
4353,1,0.061,politique,emploi,"['accompagnement', 'travailleur', 'négociation', 'système', 'syndicat', 'sondé', 'épouvantail', 'salaire', 'reprise', 'citoyenneté']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
